,Z1,Z2,Z3,Z4,Z5
262,-0.32403088,-0.19600576,-0.25635597,0.17490159,-0.33122164
263,-0.4094991,-0.6168342,-0.063146666,-0.04740326,-0.38374084
264,-0.118842416,-0.463027,-0.44921577,0.33829415,-0.09417163
265,0.11744821,0.04313071,0.31332588,-0.045587044,-0.46666628
266,-0.1801174,-0.53131664,-0.5305646,0.17203379,0.07545787
267,0.061530255,0.106398985,-0.4541185,-0.1669675,0.33017126
268,-0.44991454,-0.026744084,0.36767557,-0.33146092,-0.21398024
269,0.24464059,0.32432726,-0.633388,-0.29955024,0.113665745
270,0.24698165,-0.279277,-0.0820373,0.15819998,-0.050851736
271,0.26513976,0.4238149,0.32033873,0.0046388325,-0.058732264
272,-0.46906525,0.097320765,0.09480085,-0.10442462,-0.24267
273,0.2040491,0.39789537,0.18689324,0.14651138,0.3000615
274,0.12682104,-0.02697834,-0.14269453,0.22388868,-0.5407795
275,-0.2832446,0.026361344,-0.24109349,0.20034847,0.2146805
276,-0.1896346,-0.058162697,-0.32084724,0.0864707,0.049102373
277,0.2100036,-0.066658795,-0.04469376,0.123752594,0.030401034
278,-0.09501991,0.35611773,0.04215227,-0.0836099,-0.27574122
279,0.32315046,0.23760252,-0.03237558,-0.400908,-0.20142524
280,0.33793554,0.46521267,-0.014398853,-0.25245774,-0.182591
281,-0.058163583,-0.023262832,-0.27713266,0.15564351,-0.67770624
282,-0.82088333,-0.21789934,0.50805414,0.0065472494,-0.35044065
283,-0.14998288,0.113539666,-0.040713288,-0.02028042,0.58423924
284,-0.0758854,0.424006,-0.08269837,-0.44565946,-0.22384757
285,-0.059963483,-0.30647877,-0.5248844,0.40598992,-0.2567256
286,-0.2141499,-0.7453538,-0.0802139,-0.036440596,-0.17335603
287,0.13247016,0.19018146,0.2619838,-0.28952858,0.10727792
288,-0.11678833,0.5736869,0.101205744,0.21642146,-0.36896858
289,0.18167865,0.24912603,-0.13109301,0.017654564,0.10968652
290,-0.28521055,-0.4601625,-0.011749236,-0.60970587,-0.16554585
291,-0.30031094,-0.2799423,0.21117076,-0.20764618,0.02014859
292,-0.0071951738,0.5085897,0.079774864,-0.10418857,0.44142976
293,0.1790724,0.54048765,-0.40625086,0.14196102,-0.24324924
